P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Hypnales	Rhizogoniales	Grimmiales	6.7869975923157915	5.757838650310987e-12	0.8282271895566038	287232348.5	14993398.0	4730512.5	5415559.0	1100826.5	7716274.5	3283084.5	1162882.5	13565115.5	114267797.0	13159484.5	1392011.5	3542706.75	6070894.75	940777.0
Hypnales	Grimmiales	Pottiales	11.204684743494358	0.0	0.4902587091697083	3122264970.75	146109198.5	88049608.25	126521100.0	26200409.25	165355742.25	61136486.5	26115170.75	124022065.5	1108361765.5	120264859.75	27254427.0	63935947.5	126207748.0	20935467.5
Hypnales	Bartramiales	Grimmiales	9.307866276743372	0.0	0.717800808785273	554398521.5	25735491.5	10461458.5	13519539.25	2726609.0	18803392.5	7599476.5	2638788.5	22657726.0	218845455.0	22445316.75	2935155.75	7445279.75	14581329.75	2234119.75
Hypnales	Grimmiales	Erpodiales	7.686290502029409	7.66053886991358e-15	0.2771688161975734	220455059.25	9149498.0	5692407.75	9770283.5	1418995.5	12121665.75	4220446.75	1482353.25	6348525.5	81833716.0	6569883.25	1531699.25	4293994.75	9825901.5	1133174.0
Grimmiales	Hypnales	Hookeriales	7.703196499611063	6.661338147750939e-15	0.18283438693322696	796467008.75	26491224.5	15506948.0	43540995.5	5543854.25	45389163.5	11087369.0	4385249.5	18348613.0	302532363.5	20236678.5	4428035.25	11992616.75	40564299.0	3652621.0
Hypnales	Catoscopiales	Grimmiales	8.457208603941949	0.0	0.252813042983148	112607320.75	3313379.25	2258552.0	4710001.0	550773.0	5842515.5	1572006.5	548314.0	2633756.75	44175113.75	2660679.5	578860.75	1652302.5	4875410.25	437435.5
Hypnales	Aulacomniales	Grimmiales	6.420505037899021	6.82305323351784e-11	0.848099887420918	324344114.0	17323903.0	5673488.5	5990685.75	1294931.25	8652974.25	3848408.5	1268082.25	15809328.5	129014611.0	15508451.5	1612827.5	3987398.5	6628048.5	1100769.0
Hypnales	Orthodontiales	Grimmiales	8.813692333466753	0.0	0.8138333757050413	225350666.25	11914419.75	3150836.5	4217083.5	837512.5	6121404.75	2246712.75	849072.75	10860251.75	89989304.5	10749388.5	1026165.75	2264287.0	4625149.0	689235.75
Grimmiales	Hypnales	Hypopterygiales	6.423130023964305	6.706435407011213e-11	0.14476074159623656	113295525.0	3232493.5	2328147.5	6160899.75	675108.5	6485589.75	1563019.75	610463.5	2341272.75	43291265.75	2643118.0	528399.5	1654604.5	5936841.75	509454.5
Hypnales	Rhizogoniales	Bryales	6.736200794808439	8.175016219524878e-12	0.7391587081698235	575104093.0	22269007.25	9126668.75	10979158.0	1890926.75	14819568.25	6824492.25	2037078.75	18597771.5	240092584.5	19811789.5	1975299.0	7330535.5	12487357.25	1532507.75
Hypnales	Rhizogoniales	Dicranales	5.5734896794584685	1.2516980674170952e-08	0.8631125262707934	325922990.0	19155811.0	5439748.0	5949162.5	1335544.5	8461424.5	3882421.75	1429370.75	16913780.875	128023097.5	16442857.625	1650199.125	4012960.0	6701382.0	1141293.875
Hypnales	Rhizogoniales	Bartramiales	6.994957759881064	1.3352652317166758e-12	0.4562022583274711	118824352.5	2634928.75	1741116.75	2495892.25	265586.75	3248634.0	1337130.5	269698.25	2309237.75	52131504.25	2254940.75	311809.0	1465515.25	2805278.0	215223.25
Hypnales	Rhizogoniales	Ditrichales	5.685836463971168	6.527272500278514e-09	0.8411470537638538	108809959.625	5642082.625	1838428.875	2024208.375	404148.0	2928274.875	1277517.5	398743.375	5231343.0	43381317.375	4956206.625	540257.125	1329029.125	2253919.25	361884.25
Hypnales	Rhizogoniales	Orthotrichales	5.545299484775777	1.4710105356030567e-08	0.7169517502265296	248105567.0	9000073.5	3995053.0	4772581.75	721354.25	6239818.5	3271310.25	761879.25	7073980.75	105875511.5	7356131.0	758304.25	3402339.75	5388615.0	576455.25
Hypnales	Rhizogoniales	Splachnales	5.806438527889235	3.2007485550877846e-09	0.7938018480313456	173056245.75	7541289.0	2817823.25	3177532.0	591811.75	4302144.75	2079813.25	649504.75	6305705.5	71037049.25	6633918.0	678975.5	2257430.75	3567223.75	514011.75
Hypnales	Rhizogoniales	Bruchiales	5.073071730292806	1.9605454715243553e-07	0.8768185369101075	39311707.0	2086572.0	686458.5	682240.25	151611.25	1029670.75	455572.5	164669.25	2069017.25	15243167.5	1859001.75	205486.0	472499.0	797740.0	136114.0
Hypnales	Rhizogoniales	Archidiales	6.534855129197189	3.199573939127731e-11	0.8438603022327302	126678930.375	7071797.125	2097344.625	2395351.375	511649.25	3343827.125	1464442.125	536417.25	6495560.875	49874965.875	5989005.0	608413.0	1557808.5	2678630.0	436510.5
Hypnales	Rhizogoniales	Rhabdoweisiales	6.587521863088968	2.2477353311955994e-11	0.8181547027031434	232791977.25	11661371.25	3861977.0	4412936.0	861194.0	6207693.25	2695658.75	936736.0	10421998.0	93726890.5	10062906.25	1098405.0	2856329.5	4948398.0	754576.25
Hypnales	Rhizogoniales	Gigaspermales	7.048668780412557	9.092726571680032e-13	0.8345871462222414	21438311.75	1077158.25	325036.25	407979.0	83549.25	575869.25	239727.0	81516.75	1088639.0	8418089.75	965904.0	105810.25	243324.0	451065.25	69451.25
Hypnales	Rhizogoniales	Erpodiales	5.439568148601976	2.676762345110717e-08	0.8872911874037296	45895517.5	3106762.25	782780.5	816334.5	202399.75	1190035.0	549439.75	218502.0	2650547.5	17597436.75	2551388.5	244163.5	568981.25	918987.25	185763.0
Rhizogoniales	Hypnales	Hookeriales	7.678253725366282	8.215650382226158e-15	0.6069619537107398	170774468.5	6090093.5	2733180.0	3708492.25	540920.75	3946503.75	2090476.75	474739.75	4589150.5	73105751.0	5217930.75	486881.75	2384272.25	3654301.25	405625.25
Hypnales	Rhizogoniales	Catoscopiales	9.458139339467257	0.0	0.7187588636772905	23606106.25	956360.75	353036.5	486517.0	76841.25	659850.75	242099.75	80046.5	866749.0	9768231.25	850346.0	91530.5	269992.25	539279.25	62423.0
Hypnales	Rhizogoniales	Hedwigiales	7.425087821697724	5.684341886080802e-14	0.685448959396326	117090380.25	4003053.0	1823904.5	2275466.5	360544.75	3125345.75	1338723.75	341805.75	3380012.0	49862476.0	3495235.0	362767.5	1485750.0	2636656.0	273286.25
Rhizogoniales	Hypnales	Hypopterygiales	6.918698122120099	2.2932766796657233e-12	0.5929842286602682	24265016.0	740814.25	423313.0	493520.0	77357.25	562493.75	303978.25	64674.0	580123.0	10473072.5	651998.0	61149.75	349455.75	523948.25	53654.25
Hypnales	Dicranales	Pottiales	8.951730666255477	0.0	0.4378702281117155	3588048217.5	158802988.5	116898284.75	151991394.5	31012174.25	193778279.5	81705574.5	30435605.25	136454619.25	1263443914.5	131053236.5	32277435.25	82560900.75	149038406.25	25670724.75
Hypnales	Bartramiales	Pottiales	5.666973643348229	7.287528913657582e-09	0.8791899166194636	1255950682.0	83615228.25	25887724.0	26486307.75	8167074.5	39551132.25	18296558.25	7749602.25	77897089.75	456232763.0	74231464.5	8831507.75	17427564.25	27880642.25	6970871.25
Hypnales	Ditrichales	Pottiales	11.480670051952243	0.0	0.3600864578366996	1191840131.5	46628195.0	24229648.25	56757464.0	8579314.75	70711463.5	17633980.0	8484512.5	39649199.0	434629707.25	39225781.25	8344010.5	17615563.25	55705348.25	6823421.0
Pottiales	Hypnales	Tetraphidales	4.873184774746563	5.498323121244653e-07	0.8297457023503132	329995440.5	27112471.0	15667037.25	12766956.75	6050352.25	17170618.25	9683327.0	5681926.25	24711602.75	90179104.25	21201119.75	6515835.25	9764093.5	11471582.75	4447042.5
Pottiales	Hypnales	Polytrichales	5.326496347787783	5.0169453813531106e-08	0.8427037594458399	1632319847.75	143667058.0	81205718.5	64411429.0	29667789.0	86132108.0	50144938.75	27709465.25	126576676.25	442220262.25	107062703.75	32275820.0	48945847.25	56759502.5	23392557.75
Hypnales	Bruchiales	Pottiales	8.835626838338674	0.0	0.32281586513451965	437838718.75	17186343.75	10037276.0	20145117.75	3332690.75	25915961.0	8188277.25	3613254.25	13888141.75	155719872.5	14184267.75	3232723.25	7745310.0	19821960.5	2739409.75
Hypnales	Archidiales	Pottiales	8.742964457652844	0.0	0.5000101077028793	1371016292.25	64433168.5	44557508.75	54361361.75	11974181.75	72111461.0	31977895.5	11889213.75	54362266.75	479672596.75	52591963.5	12188803.5	30369083.25	54922871.75	9447101.25
Hypnales	Rhabdoweisiales	Pottiales	12.387679878972127	0.0	0.47411596676572637	2552851207.5	116192811.5	64288562.5	106292658.5	20230672.5	136349384.25	43831349.75	18967289.5	100143962.25	918218206.25	97319225.0	20862762.75	44785229.75	106484534.5	16088304.5
Pottiales	Hypnales	Funariales	5.641627534447584	8.445747323726494e-09	0.4370754437854844	891889882.75	55670618.0	39683557.75	39852263.0	12758715.75	47586939.75	28316427.25	11304399.75	37273276.75	287656717.75	37296917.0	10801001.5	28095283.75	36976922.75	9539628.5
Hypnales	Erpodiales	Pottiales	6.745373394867316	7.674971769233707e-12	0.37091985618606	504143042.5	21136864.25	19888364.25	22014455.75	4991424.75	27802099.75	13375590.5	4570825.0	18469260.5	174682757.75	17341992.75	4955600.5	13091172.5	21519323.75	3750165.5
Pottiales	Hypnales	Hookeriales	4.83553961455286	6.648146038124025e-07	0.09252057810319508	1832980917.75	57455729.5	37943515.0	132204300.75	15181637.25	134168558.25	27116143.0	13068602.0	37830234.0	648605043.5	41217131.25	12492307.5	28156367.0	120433670.25	10420213.0
Hypnales	Catoscopiales	Pottiales	11.33636334547763	0.0	0.6423437088909201	255199501.25	13632775.25	6561956.25	8534095.5	2099999.5	11835113.0	4427000.0	1952068.0	11803263.25	91645769.0	11344307.25	2190064.0	4444218.25	8732878.75	1694873.75
Hypnales	Pleurophascales	Pottiales	7.334399591418201	1.1213252548714081e-13	0.5729327061491333	136164353.75	6457014.75	4029743.0	4931352.75	1037046.5	6343241.75	2819023.25	1043602.5	5652821.75	48777468.0	5561563.75	1136454.25	2855870.25	5000978.75	763880.0
Pottiales	Hypnales	Buxbaumiales	5.851409641648226	2.44498365997714e-09	0.8187570138097039	184424451.75	17494841.5	8734878.75	7458908.25	3552396.5	9910984.5	5471220.0	3222205.5	14450512.0	50505590.75	12409371.25	3589732.0	5758407.75	6449669.75	2689824.75
Hypnales	Orthodontiales	Pottiales	5.8229520294507315	2.8999947998542552e-09	0.9079622581335995	512134502.0	37127094.5	7849248.75	8484299.5	2463304.75	13132459.75	5477452.75	2490341.25	35140320.5	188815410.25	33614642.0	3004748.0	5387562.75	9018549.5	2094188.75
Hypnales	Bartramiales	Bryales	6.537936671566408	3.134381643121742e-11	0.6092502166945278	1105934695.5	38038038.25	21225044.0	25671634.5	4671849.0	34191947.25	17442037.0	4819957.5	30273481.25	454602174.25	33436047.5	4381052.0	16790229.0	27946261.75	3607324.25
Bryales	Hypnales	Ptychomniales	5.2099461366931115	9.462957972772301e-08	0.24276920671187593	862683681.25	28064617.25	19822632.75	30176499.5	4210779.75	34928023.5	14564372.75	4160975.25	19569641.5	345306056.5	21006403.75	4232602.5	15634113.0	30676554.75	3505828.0
Bryales	Hypnales	Hookeriales	8.678551589820945	0.0	0.2822948585710754	1600783677.5	53250096.75	28732699.25	63511619.25	8487341.25	70548096.0	22030637.5	7377762.0	38346346.0	638643580.5	43183592.5	7636994.75	23789870.25	64201083.0	6227948.5
Hypnales	Aulacomniales	Bryales	7.497180338339565	3.2862601528904634e-14	0.7373561989404748	652087710.0	25702921.75	10578784.25	12634424.0	2221508.25	17062546.25	7678308.75	2136724.75	21592295.25	272771946.5	22989342.5	2340060.25	8002369.0	14120009.25	1776756.25
Hypnales	Orthodontiales	Bryales	9.76327344701832	0.0	0.6970598061881893	452792922.25	17507165.0	5665965.25	8885713.25	1450477.75	12056882.75	4461805.5	1403026.25	14641135.75	189941978.0	15843958.5	1384485.0	4399276.5	9936336.25	1101436.0
Bryales	Hypnales	Hypopterygiales	6.676865331539193	1.227196122499663e-11	0.21682130817852502	228482306.0	6505286.0	4457147.75	8872085.5	1026850.75	10143671.5	3179231.25	998344.0	4755285.5	91984222.0	5436508.0	932690.25	3522180.0	9248615.0	835431.5
Hypnales	Tetraphidales	Sphagnales	5.933130850130064	1.4911407664186527e-09	0.7443223686100816	51219997.75	4880736.0	3004037.0	2640181.5	1285681.0	4364027.75	1917171.5	1357077.5	4021980.25	11391299.75	3018873.75	1572774.5	1729117.0	2478322.75	981054.0
Hypnales	Polytrichales	Sphagnales	5.08428134537956	1.8482672825559376e-07	0.7774987733456609	250381618.5	23643117.75	16011158.25	12926404.75	6607324.75	21363194.0	10329712.25	6762137.75	19403483.5	55383946.75	14768905.75	7604593.5	9407661.0	11908123.0	4926556.5
Hypnales	Andreaeales	Sphagnales	7.065782376490657	8.039124921310759e-13	0.45941703490315494	129040018.5	10658619.25	8373709.0	8351301.5	3491224.5	13183980.5	5640825.0	3838117.75	7944336.5	28011889.75	5972383.75	4131874.0	4932452.75	7390844.75	2693267.5
Hypnales	Bartramiales	Dicranales	7.969820458987516	7.771561172376096e-16	0.7712893524424517	625831262.25	33279738.5	11886191.25	14802201.75	3230261.5	20239174.25	8912192.0	3375243.5	28775289.125	243379539.75	28087912.625	3501111.375	8333184.25	16009535.5	2745330.375
Hypnales	Rhabdoweisiales	Dicranales	5.632459645579238	8.90720563972991e-09	0.18585173893264342	1278372284.25	39298728.0	28429815.75	59417841.75	6638644.25	71746323.75	20589351.5	6569750.5	29453022.625	493930447.5	29308751.875	6551963.875	20423305.25	61873123.5	5205409.625
